         628290144 function calls (628095685 primitive calls) in 774.890 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   259964  475.520    0.002  770.260    0.003 circuit.py:381(_find_min)
625762426  294.727    0.000  294.727    0.000 circuit.py:286(__lt__)
    64400    1.270    0.000  774.227    0.012 circuit.py:423(step)
828910/634511    0.448    0.000    0.572    0.000 {len}
    65554    0.354    0.000    0.687    0.000 circuit.py:163(transition_output)
    65583    0.348    0.000    0.348    0.000 {method 'pop' of 'list' objects}
   194381    0.345    0.000  770.612    0.004 circuit.py:361(min)
        1    0.273    0.273  774.678  774.678 circuit.py:456(run)
    65583    0.231    0.000    0.602    0.000 circuit.py:368(pop)
    65554    0.198    0.000    0.236    0.000 circuit.py:33(output)
    65583    0.177    0.000    0.274    0.000 circuit.py:268(__init__)
    65583    0.129    0.000    0.145    0.000 circuit.py:354(append)
   194384    0.123    0.000    0.173    0.000 circuit.py:350(__len__)
    65554    0.098    0.000    0.334    0.000 circuit.py:90(output)
    65583    0.097    0.000    0.097    0.000 circuit.py:335(next_object_id)
   148002    0.096    0.000    0.096    0.000 {method 'append' of 'list' objects}
    65583    0.079    0.000    0.079    0.000 circuit.py:309(is_valid)
    65554    0.068    0.000    0.107    0.000 circuit.py:172(transition_time)
    32768    0.063    0.000    0.063    0.000 {method 'write' of 'file' objects}
    65556    0.058    0.000    0.058    0.000 circuit.py:315(apply)
        1    0.044    0.044    0.044    0.044 hex_codec.py:8(<module>)
    65554    0.038    0.000    0.038    0.000 circuit.py:94(output_time)
        1    0.038    0.038  774.890  774.890 circuit.py:3(<module>)
        1    0.019    0.019    0.023    0.023 circuit.py:546(outputs_to_line_list)
        1    0.013    0.013    0.098    0.098 circuit.py:549(outputs_to_file)
        1    0.012    0.012    0.056    0.056 {__import__}
        1    0.007    0.007    0.009    0.009 scanner.py:2(<module>)
    16385    0.004    0.000    0.004    0.000 {method 'join' of 'str' objects}
        1    0.003    0.003    0.073    0.073 __init__.py:99(<module>)
        1    0.002    0.002    0.002    0.002 {method 'sort' of 'list' objects}
        1    0.002    0.002    0.069    0.069 decoder.py:2(<module>)
     15/6    0.001    0.000    0.002    0.000 sre_parse.py:379(_parse)
       14    0.001    0.000    0.001    0.000 sre_compile.py:207(_optimize_charset)
        1    0.001    0.001    0.002    0.002 circuit.py:478(from_file)
       66    0.000    0.000    0.001    0.000 circuit.py:233(add_gate)
      120    0.000    0.000    0.000    0.000 {method 'readline' of 'file' objects}
      118    0.000    0.000    0.000    0.000 sre_parse.py:182(__next)
       66    0.000    0.000    0.000    0.000 circuit.py:108(__init__)
     26/6    0.000    0.000    0.001    0.000 sre_compile.py:32(_compile)
    35/15    0.000    0.000    0.000    0.000 sre_parse.py:140(getwidth)
        4    0.000    0.000    0.000    0.000 sre_compile.py:258(_mk_bitmap)
       91    0.000    0.000    0.000    0.000 sre_parse.py:130(__getitem__)
     13/6    0.000    0.000    0.002    0.000 sre_parse.py:301(_parse_sub)
        1    0.000    0.000    0.001    0.001 encoder.py:2(<module>)
       94    0.000    0.000    0.000    0.000 sre_parse.py:201(get)
        6    0.000    0.000    0.005    0.001 re.py:228(_compile)
      121    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
